ID	Name	Glottocode
Megleno_Romanian	Megleno_Romanian	megl1237
Istro_Romanian	Istro_Romanian	istr1245
Aromanian	Aromanian	arom1237
Romanian	Romanian	roma1327
Dalmatian	Dalmatian	dalm1243
Friulian	Friulian	friu1240
Gardenese_Ladin	Gardenese_Ladin	gard1241
Fassano_Ladin	Fassano_Ladin	fass1244
Rumantsch_Grischun	Rumantsch_Grischun	ruma1247
Sursilvan_Romansh	Sursilvan_Romansh	surs1244
Surmiran_Romansh	Surmiran_Romansh	surm1243
Vallader_Romansh	Vallader_Romansh	lowe1386
Lanzo_Torinese_Piemontese	Lanzo_Torinese_Piemontese	piem1238
Barbania_Piemontese	Barbania_Piemontese	piem1238
Carmagnola_Piemontese	Carmagnola_Piemontese	piem1238
Vercellese_Piemontese	Vercellese_Piemontese	piem1238
Ravennate_Romagnol	Ravennate_Romagnol	roma1328
Ferrarese_Emiliano	Ferrarese_Emiliano	emil1241
Carpigiano_Emiliano	Carpigiano_Emiliano	emil1241
Reggiano_Emiliano	Reggiano_Emiliano	emil1241
Rapallo_Ligurian	Rapallo_Ligurian	ligu1248
Genoese_Ligurian	Genoese_Ligurian	geno1240
Stella_Ligurian	Stella_Ligurian	ligu1248
Venice_Venetian	Venice_Venetian	vene1258
Primiero_Venetian	Primiero_Venetian	vene1258
Bellunese_Venetian	Bellunese_Venetian	vene1258
Standard_Italian	Standard_Italian	ital1282
Grosseto_Italian	Grosseto_Italian	ital1282
Neapolitan	Neapolitan	neap1235
Logudorese	Logudorese	barb1262
Campidanese	Campidanese	camp1261
Palermitan_Sicilian	Palermitan_Sicilian	sici1248
Messinese_Sicilian	Messinese_Sicilian	mess1247
Catanian_Sicilian	Catanian_Sicilian	sici1248
South-Eastern_Sicilian	South-Eastern_Sicilian	sici1248
Central_Catalan	Central_Catalan	stan1289
North-Western_Catalan	North-Western_Catalan	stan1289
Minorcan_Catalan	Minorcan_Catalan	stan1289
Castelló_de_la_Plana_Catalan	Castelló_de_la_Plana_Catalan	stan1289
Valencian_Catalan	Valencian_Catalan	stan1289
Manises_Catalan	Manises_Catalan	stan1289
Castilian_Spanish	Castilian_Spanish	cast1244
Provençal_Occitan	Provençal_Occitan	prov1235
