ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
meglenoromanian,Megleno_Romanian,megl1237,Megleno Romanian,ruq,Eurasia,41.1174,22.3782,Indo-European
istroromanian,Istro_Romanian,istr1245,Istro Romanian,ruo,Eurasia,45.433,14.2,Indo-European
aromanian,Aromanian,arom1237,Aromanian,rup,Eurasia,40.616,21.2,Indo-European
romanian,Romanian,roma1327,Romanian,ron,Eurasia,46.3913,24.2256,Indo-European
dalmatian,Dalmatian,dalm1243,Dalmatian,dlm,Eurasia,42.7095,18.0238,Indo-European
friulian,Friulian,friu1240,Friulian,fur,Eurasia,46.1473,13.0493,Indo-European
gardeneseladin,Gardenese_Ladin,gard1241,Gardenese,,Eurasia,,,Indo-European
fassanoladin,Fassano_Ladin,fass1244,Fassano,,Eurasia,,,Indo-European
rumantschgrischun,Rumantsch_Grischun,ruma1247,Rumantsch Grischun,,Eurasia,,,Indo-European
sursilvanromansh,Sursilvan_Romansh,surs1244,Sursilvan,,Eurasia,,,Indo-European
surmiranromansh,Surmiran_Romansh,surm1243,Surmiran-Albula,,Eurasia,,,Indo-European
valladerromansh,Vallader_Romansh,lowe1386,Lower Engadine,,Eurasia,,,Indo-European
lanzotorinesepiemontese,Lanzo_Torinese_Piemontese,piem1238,Piemontese,pms,Eurasia,45.4633,8.32366,Indo-European
barbaniapiemontese,Barbania_Piemontese,piem1238,Piemontese,pms,Eurasia,45.4633,8.32366,Indo-European
carmagnolapiemontese,Carmagnola_Piemontese,piem1238,Piemontese,pms,Eurasia,45.4633,8.32366,Indo-European
vercellesepiemontese,Vercellese_Piemontese,piem1238,Piemontese,pms,Eurasia,45.4633,8.32366,Indo-European
ravennateromagnol,Ravennate_Romagnol,roma1328,Romagnol,rgn,Eurasia,44.2349,11.7189,Indo-European
ferrareseemiliano,Ferrarese_Emiliano,emil1241,Emiliano,egl,Eurasia,44.3536,11.5794,Indo-European
carpigianoemiliano,Carpigiano_Emiliano,emil1241,Emiliano,egl,Eurasia,44.3536,11.5794,Indo-European
reggianoemiliano,Reggiano_Emiliano,emil1241,Emiliano,egl,Eurasia,44.3536,11.5794,Indo-European
rapalloligurian,Rapallo_Ligurian,ligu1248,Ligurian,lij,Eurasia,44.0816,7.90522,Indo-European
genoeseligurian,Genoese_Ligurian,geno1240,Genoese,,Eurasia,,,Indo-European
stellaligurian,Stella_Ligurian,ligu1248,Ligurian,lij,Eurasia,44.0816,7.90522,Indo-European
venicevenetian,Venice_Venetian,vene1258,Venetian,vec,Eurasia,45.503581,12.214167,Indo-European
primierovenetian,Primiero_Venetian,vene1258,Venetian,vec,Eurasia,45.503581,12.214167,Indo-European
bellunesevenetian,Bellunese_Venetian,vene1258,Venetian,vec,Eurasia,45.503581,12.214167,Indo-European
standarditalian,Standard_Italian,ital1282,Italian,ita,Eurasia,43.0464,12.6489,Indo-European
grossetoitalian,Grosseto_Italian,ital1282,Italian,ita,Eurasia,43.0464,12.6489,Indo-European
neapolitan,Neapolitan,neap1235,Continental Southern Italian,nap,Eurasia,39.2288,16.4225,Indo-European
logudorese,Logudorese,barb1262,Barbaricino,,Eurasia,,,Indo-European
campidanese,Campidanese,camp1261,Campidanese Sardinian,sro,Eurasia,39.0566,9.03935,Indo-European
palermitansicilian,Palermitan_Sicilian,sici1248,Sicilian,scn,Eurasia,37.5735,14.0414,Indo-European
messinesesicilian,Messinese_Sicilian,mess1247,Messinese,,Eurasia,,,Indo-European
cataniansicilian,Catanian_Sicilian,sici1248,Sicilian,scn,Eurasia,37.5735,14.0414,Indo-European
southeasternsicilian,South-Eastern_Sicilian,sici1248,Sicilian,scn,Eurasia,37.5735,14.0414,Indo-European
centralcatalan,Central_Catalan,stan1289,Catalan,cat,Eurasia,41.453,1.569,Indo-European
northwesterncatalan,North-Western_Catalan,stan1289,Catalan,cat,Eurasia,41.453,1.569,Indo-European
minorcancatalan,Minorcan_Catalan,stan1289,Catalan,cat,Eurasia,41.453,1.569,Indo-European
castellodelaplanacatalan,Castelló_de_la_Plana_Catalan,stan1289,Catalan,cat,Eurasia,41.453,1.569,Indo-European
valenciancatalan,Valencian_Catalan,stan1289,Catalan,cat,Eurasia,41.453,1.569,Indo-European
manisescatalan,Manises_Catalan,stan1289,Catalan,cat,Eurasia,41.453,1.569,Indo-European
castilianspanish,Castilian_Spanish,cast1244,Castilian,,Eurasia,,,Indo-European
provencaloccitan,Provençal_Occitan,prov1235,Provençal,,Eurasia,44.0,6.0,Indo-European
